title,author,averagerating,totalratings,numberofpages,genre,bookformat,language
"
Unraveled (Intertwined, #2)
",Gena Showalter,4.05,"9,992",572,Young Adult,Hardcover,English
"
Lila
",Marilynne Robinson,3.94,"29,284",261,Fiction,Hardcover,English
"
Secret Deceptions (Amatore's Restaurant #1)
",James Sillwood,4.47,49,176,Romance,Paperback,English
"
Girl, Woman, Other
",Bernardine Evaristo,4.37,"142,985",453,Fiction,Hardcover,English
"
Dreamers in Hell (Heroes in Hell, #16)
",Janet E. Morris,4.7,88,453,Fiction,Hardcover,English
"
An Absolutely Remarkable Thing (The Carls, #1)
",Hank Green,4.03,"79,786",343,Science Fiction,Kindle Edition,English
"
Turn of Mind
",Alice LaPlante,3.65,"14,445",320,Fiction,Hardcover,English
"
Elizabeth Is Missing
",Emma Healey,3.72,"59,725",320,Fiction,Hardcover,English
"
Doctors in Hell (Heroes in Hell #18)
",Janet E. Morris,4.73,66,338,Fantasy,Kindle Edition,English
"
An Untamed State
",Roxane Gay,4.08,"18,069",368,Fiction,Paperback,English
"
Citizen: An American Lyric
",Claudia Rankine,4.27,"38,788",169,Poetry,Paperback,English
"
The Testament of Mary
",Colm Tóibín,3.63,"14,928",81,Fiction,Hardcover,English
"
Captive Prince: Volume Two (Captive Prince, #2)
",C.S. Pacat,4.38,"48,762",216,Fantasy,ebook,English
"
Home
",Toni Morrison,3.79,"20,292",147,Fiction,Hardcover,English
"
The Priory of the Orange Tree
",Samantha Shannon,4.21,"67,492",848,Fantasy,Kindle Edition,English
"
The Stone Sky (The Broken Earth, #3)
",N.K. Jemisin,4.3,"96,263",416,Fantasy,Paperback,English
"
The Drowning Girl
",Caitlín R. Kiernan,3.71,"4,678",332,Horror,Paperback,English
"
The Republic of Thieves (Gentleman Bastard, #3)
",Scott Lynch,4.19,"94,094",650,Fantasy,Hardcover,English
"
Lucky Us
",Amy Bloom,3.22,"16,639",256,Fiction,Hardcover,English
"
Parasite (Parasitology, #1)
",Mira Grant,3.67,"15,202",504,Horror,Hardcover,English
"
Missoula: Rape and the Justice System in a College Town
",Jon Krakauer,4.07,"49,275",368,Nonfiction,Hardcover,English
"
Saga, Vol. 3
",Brian K. Vaughan,4.49,"85,024",144,Sequential Art,Paperback,English
"
A Spool of Blue Thread
",Anne Tyler,3.43,"88,131",358,Fiction,Hardcover,English
"
The Immortals of Meluha (Shiva Trilogy, #1)
",Amish Tripathi,4.11,"109,165",436,Fiction,Paperback,English
"
White Trash: The 400-Year Untold History of Class in America
",Nancy Isenberg,3.74,"20,200",460,History,Hardcover,English
"
The Shining Girls
",Lauren Beukes,3.57,"45,806",368,Fiction,Hardcover,English
"
Boy, Snow, Bird
",Helen Oyeyemi,3.36,"27,596",308,Fiction,Hardcover,English
"
2003 - Thanks for the Vodka
",Harpie,3.48,"1,820",360,Fiction,Kindle Edition,English
"
Boomerang: Travels in the New Third World
",Michael   Lewis,3.9,"42,622",218,Nonfiction,Paperback,English
"
The Silent Patient
",Alex Michaelides,4.12,"772,726",325,Thriller,Hardcover,English
"
Children of Blood and Bone (Legacy of Orïsha, #1)
",Tomi Adeyemi,4.09,"191,150",544,Fantasy,Hardcover,English
"
Some Girls: My Life in a Harem
",Jillian Lauren,3.33,"8,138",544,Fantasy,Hardcover,English
"
A Memory Called Empire (Teixcalaan #1)
",Arkady Martine,4.15,"29,180",462,Science Fiction,Paperback,English
"
The Eyes of the Dragon
",Stephen King,3.93,"113,284",427,Fantasy,Paperback,English
"
Moonlight Mile (Kenzie & Gennaro,#6)
",Dennis Lehane,3.73,"21,170",324,Mystery,Hardcover,English
"
Etiquette & Espionage (Finishing School, #1)
",Gail Carriger,3.82,"45,278",307,Science Fiction,Hardcover,English
"
Flash Boys: A Wall Street Revolt
",Michael   Lewis,4.13,"74,168",304,Nonfiction,Paperback,English
"
Magpie Murders (Susan Ryeland, #1)
",Anthony Horowitz,3.94,"85,463",498,Mystery,Hardcover,English
"
Never Fade (The Darkest Minds, #2)
",Alexandra Bracken,4.21,"86,105",507,Science Fiction,Hardcover,English
"
White Cat (Curse Workers, #1)
",Holly Black,3.78,"47,918",310,Fantasy,Hardcover,English
"
The Expats (Kate Moore, #1)
",Chris  Pavone,3.53,"36,766",326,Fiction,Hardcover,English
"
The Fireman
",Joe Hill,3.91,"54,959",768,Horror,Paperback,English
"
Passenger (Passenger, #1)
",Alexandra Bracken,3.75,"41,441",496,Fantasy,Hardcover,English
"
Silber: Das erste Buch der Träume (Silber, #1)
",Kerstin Gier,4.08,"30,332",416,Fantasy,Kindle Edition,German
"
The Psychopath Test: A Journey Through the Madness Industry
",Jon Ronson,3.94,"133,075",275,Nonfiction,Paperback,English
"
Blue Is the Warmest Color
",Julie Maroh,3.92,"28,137",156,Sequential Art,Paperback,English
"
All the Ugly and Wonderful Things
",Bryn Greenwood,4.03,"115,616",346,Fiction,Hardcover,English
"
The All-Girl Filling Station's Last Reunion
",Fannie Flagg,4.01,"47,578",369,Fiction,Kindle Edition,English
"
Saga, Vol. 4
",Brian K. Vaughan,4.42,"70,254",152,Sequential Art,Paperback,English
"
Caraval (Caraval, #1)
",Stephanie Garber,3.97,"202,127",407,Fantasy,Hardcover,English
"
An Astronaut's Guide to Life on Earth
",Chris Hadfield,4.12,"54,141",295,Nonfiction,Hardcover,English
"
Fool's Assassin (The Fitz and The Fool Trilogy, #1)
",Robin Hobb,4.39,"45,380",706,Fantasy,Kindle Edition,English
"
Age of Myth (The Legends of the First Empire, #1)
",Michael J. Sullivan,4.23,"28,337",432,Fantasy,Hardcover,English
"
The Traitor Baru Cormorant (The Masquerade, #1)
",Seth Dickinson,4.06,"14,569",399,Fantasy,Hardcover,English
"
A School for Unusual Girls (Stranje House, #1)
",Kathleen Baldwin,3.88,"4,035",352,Historical,Hardcover,English
"
Queen of Air and Darkness (The Dark Artifices, #3)
",Cassandra Clare,4.35,"82,095",912,Fantasy,Kindle Edition,English
"
The Moor's Account
",Laila Lalami,4.02,"9,361",321,Historical,Hardcover,English
"
This Changes Everything: Capitalism vs. The Climate
",Naomi Klein,4.14,"23,326",576,Nonfiction,Hardcover,English
"
The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made
",Greg Sestero,4.21,"32,657",270,Nonfiction,Hardcover,English
"
Ink and Bone (The Great Library, #1)
",Rachel Caine,3.97,"24,893",270,Nonfiction,Hardcover,English
"
11th Hour (Women's Murder Club, #11)
",James Patterson,4.06,"41,315",416,Mystery,Hardcover,English
"
Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History
",S.C. Gwynne,4.19,"38,706",371,History,Hardcover,English
"
End of Days (Penryn & the End of Days, #3)
",Susan Ee,4.05,"66,691",344,Fantasy,Kindle Edition,English
"
United We Spy (Gallagher Girls, #6)
",Ally Carter,4.44,"32,083",296,Young Adult,Hardcover,English
"
The Trespasser (Dublin Murder Squad, #6)
",Tana French,3.97,"72,845",464,Mystery,Paperback,English
"
A Higher Loyalty: Truth, Lies, and Leadership
",James Comey,4.04,"50,928",290,Nonfiction,Hardcover,English
"
Shadows of Self (Mistborn, #5)
",Brandon Sanderson,4.27,"98,883",383,Fantasy,Hardcover,English
"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
",Mark Manson,3.92,"674,655",224,Nonfiction,ebook,English
"
The Sins of the Father (The Clifton Chronicles, #2)
",Jeffrey Archer,4.08,"54,941",352,Fiction,Hardcover,English
"
Prague Fatale (Bernard Gunther, #8)
",Philip Kerr,4.16,"6,646",527,Historical,Kindle Edition,English
"
Brain on Fire: My Month of Madness
",Susannah Cahalan,4.05,"186,132",527,Historical,Kindle Edition,English
"
The Gravity of Birds
",Tracy Guzeman,3.84,"5,346",295,Fiction,Hardcover,English
"
The Butterfly Garden  (The Collector, #1)
",Dot Hutchison,4.04,"143,693",288,Thriller,Kindle Edition,English
"
Attack on Titan, Vol. 1 (Attack on Titan, #1)
",Hajime Isayama,4.45,"154,463",193,Sequential Art,Paperback,English
"
Half Blood Blues
",Esi Edugyan,3.68,"15,994",343,Fiction,Paperback,English
"
Faithful Place (Dublin Murder Squad, #3)
",Tana French,3.99,"107,324",416,Mystery,Hardcover,English
"
An Unnecessary Woman
",Rabih Alameddine,3.82,"11,409",291,Fiction,Hardcover,English
"
The Invention of Murder: How the Victorians Revelled in Death and Detection and Created Modern Crime
",Judith Flanders,3.44,"2,998",556,Nonfiction,Hardcover,English
"
Everyone Brave is Forgiven
",Chris Cleave,3.76,"40,538",556,Nonfiction,Hardcover,English
"
The Enchantress Returns (The Land of Stories, #2)
",Chris Colfer,4.47,"47,199",517,Fantasy,Hardcover,English
"
Revival
",Stephen King,3.79,"107,290",405,Horror,Hardcover,English
"
Ugly Love
",Colleen Hoover,4.26,"255,262",337,Romance,Kindle Edition,English
"
Murder of Crows (The Others, #2)
",Anne Bishop,4.25,"40,567",370,Fantasy,Kindle Edition,English
"
Remember Me?
",Sophie Kinsella,3.79,"231,714",352,Womens Fiction,Hardcover,English
"
Kings Rising (Captive Prince, #3)
",C.S. Pacat,4.43,"41,698",385,Fantasy,ebook,English
"
A Girl Is a Half-formed Thing
",Eimear McBride,3.48,"9,817",205,Fiction,Paperback,English
"
The Bees
",Laline Paull,3.71,"34,678",340,Fiction,Hardcover,English
"
Magic Rises (Kate Daniels, #6)
",Ilona Andrews,4.43,"52,872",357,Fantasy,Mass Market Paperback,English
"
Shades of Milk and Honey (Glamourist Histories, #1)
",Mary Robinette Kowal,3.49,"15,299",208,Fantasy,ebook,English
"
Forever (The Wolves of Mercy Falls, #3)
",Maggie Stiefvater,3.88,"122,645",390,Young Adult,Hardcover,English
"
23 Things They Don't Tell You about Capitalism
",Ha-Joon Chang,3.97,"9,333",286,Economics,Hardcover,English
"
Vampires in the Lemon Grove: Stories
",Karen Russell,3.68,"20,781",243,Short Stories,Hardcover,English
"
Moonglow
",Michael Chabon,3.81,"30,768",430,Fiction,Hardcover,English
"
Quantos Rising
",Venancio Cadle Gomani Jr.,4.8,10,85,Fiction,ebook,English
"
The Tree with a Thousand Apples
",Sanchit Gupta,4.46,455,284,Fiction,Hardcover,English
"
Di undici foglie
",Dino Olivieri,4.17,52,304,Fiction,Paperback,Italian
"
Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters
",Gleb Tsipursky,4.36,171,224,Business,Paperback,English
"
Legion (Legion, #1)
",Brandon Sanderson,4.14,"36,206",88,Fantasy,Kindle Edition,English
"
Moon Over Soho (Rivers of London, #2)
",Ben Aaronovitch,4.09,"53,001",375,Fantasy,Hardcover,English
"
And Then Run
",Eric Hublot,3.51,79,560,Fiction,Paperback,English
"
Hounded (The Iron Druid Chronicles, #1)
",Kevin Hearne,4.07,"85,257",304,Fantasy,Mass Market Paperback,English
"
The Fort
",Bernard Cornwell,3.62,"5,684",480,Historical,Hardcover,English
"
Liliana (Liliana, #1)
",Neva Squires-Rodriguez,3.86,74,119,Young Adult,ebook,English
"
The Legend of the Blue Eyes (Blue Eyes Trilogy #1)
",B. Kristin McMichael,3.85,"3,547",252,Fantasy,Paperback,English
"
The Thousand Names (The Shadow Campaigns, #1)
",Django Wexler,4.05,"17,165",513,Fantasy,Hardcover,English
"
The Lost Saint (The Dark Divine, #2)
",Bree Despain,4.03,"16,640",404,Young Adult,Hardcover,English
"
Exile for Dreamers (Stranje House, #2)
",Kathleen Baldwin,4.14,"1,386",384,Historical,Hardcover,English
"
The 7½ Deaths of Evelyn Hardcastle
",Stuart Turton,3.88,"192,434",432,Mystery,Hardcover,English
"
Mr. Fox
",Helen Oyeyemi,3.58,"9,493",278,Fiction,Paperback,English
"
Hidden Figures
",Margot Lee Shetterly,3.92,"96,456",349,Nonfiction,Paperback,English
"
The Retribution of Mara Dyer (Mara Dyer, #3)
",Michelle Hodkin,4.07,"53,238",470,Young Adult,Hardcover,English
"
The Magician's Land (The Magicians, #3)
",Lev Grossman,4.12,"72,668",402,Fantasy,Kindle Edition,English
"
Soumission
",Michel Houellebecq,3.65,"34,991",300,Fiction,Paperback,French
"
River of Smoke
",Amitav Ghosh,3.94,"9,015",522,Fiction,Hardcover,English
"
A Land More Kind Than Home
",Wiley Cash,3.86,"24,394",320,Fiction,Hardcover,English
"
Pirates: The Midnight Passage
",James R. Hannibal,4.26,23,320,Adventure,Audio CD,English
"
Magic Shifts (Kate Daniels, #8)
",Ilona Andrews,4.4,"38,540",342,Fantasy,Hardcover,English
"
Stories I Only Tell My Friends
",Rob Lowe,3.8,"70,637",320,Nonfiction,Hardcover,English
"
The Heart's Invisible Furies
",John Boyne,4.48,"96,119",582,Historical,Hardcover,English
"
This Is How It Always Is
",Laurie Frankel,4.25,"138,241",338,Fiction,Kindle Edition,English
"
Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America
",Gilbert King,4.38,"11,908",434,History,ebook,English
"
Wrong Planet - Searching for your Tribe
",Karl Wiggins,4.18,38,346,Philosophy,Kindle Edition,English
"
Fates and Furies
",Lauren Groff,3.57,"119,521",346,Philosophy,Kindle Edition,English
"
The Rising (Darkness Rising, #3)
",Kelley Armstrong,4.12,"22,981",406,Young Adult,Hardcover,English
"
Orfeo
",Richard Powers,3.66,"5,135",400,Fiction,Paperback,English
"
The Mime Order (The Bone Season, #2)
",Samantha Shannon,4.2,"22,925",510,Fantasy,Hardcover,English
"
Jamrach's Menagerie
",Carol Birch,3.58,"7,547",295,Fiction,Hardcover,English
"
The Woman Upstairs
",Claire Messud,3.31,"31,453",253,Fiction,Hardcover,English
"
Rogues in Hell (Heroes in Hell, #14)
",Janet E. Morris,4.67,64,502,Fantasy,Kindle Edition,English
"
2312
",Kim Stanley Robinson,3.51,"19,007",561,Science Fiction,Hardcover,English
"
The Shifter Dimension (Starbirth, #2)
",J.M. Johnson,4.57,105,236,Science Fiction,Kindle Edition,English
"
The Atlantis Complex (Artemis Fowl #7)
",Eoin Colfer,3.98,"54,607",357,Fantasy,Hardcover,English
"
Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)
",Laini Taylor,4.1,"104,243",613,Fantasy,Hardcover,English
"
Sister Queens: The Noble, Tragic Lives of Katherine of Aragon and Juana, Queen of Castile
",Julia Fox,3.78,"3,011",370,History,Hardcover,English
"
Shadow Team GB (Starbirth, #3)
",J.M. Johnson,4.77,87,390,History,Kindle Edition,English
"
The Lost Sisterhood
",Anne Fortier,3.88,"5,691",585,Historical,Hardcover,English
"
The Ten Thousand Doors of January
",Alix E. Harrow,4.06,"77,933",374,Fantasy,Hardcover,English
"
Goliath (Leviathan, #3)
",Scott Westerfeld,4.23,"30,645",543,Science Fiction,Hardcover,English
"
Spinning Silver
",Naomi Novik,4.2,"93,890",465,Fantasy,Kindle Edition,English
"
Stay with Me
",Ayọ̀bámi Adébáyọ̀,4.06,"44,113",260,Fiction,Hardcover,English
"
Stormbird (Wars of the Roses, #1)
",Conn Iggulden,3.91,"12,549",482,Historical,Hardcover,English
"
King's Cage (Red Queen, #3)
",Victoria Aveyard,3.97,"162,817",528,Fantasy,ebook,English
"
The Dutch House
",Ann Patchett,4.1,"303,860",337,Fiction,Hardcover,English
"
The Absolutist
",John Boyne,4.06,"15,243",311,Historical,Paperback,English
"
Light (Gone, #6)
",Michael  Grant,4.37,"35,218",411,Young Adult,Hardcover,English
"
Only the Good Spy Young (Gallagher Girls, #4)
",Ally Carter,4.29,"62,347",265,Young Adult,Hardcover,English
"
The Grimm Legacy (The Grimm Legacy, #1)
",Polly Shulman,3.89,"15,827",336,Fantasy,Hardcover,English
"
Stamped from the Beginning: The Definitive History of Racist Ideas in America
",Ibram X. Kendi,4.52,"28,807",592,Nonfiction,Hardcover,English
"
The Cat's Table
",Michael Ondaatje,3.61,"24,883",269,Fiction,Hardcover,English
"
California
",Edan Lepucki,3.23,"19,140",393,Science Fiction,Hardcover,English
"
The Wicked King (The Folk of the Air, #2)
",Holly Black,4.34,"256,430",336,Fantasy,ebook,English
"
Alienated (Alienated, #1)
",Melissa Landers,3.9,"22,400",344,Young Adult,Hardcover,English
"
Cirkeln (Engelsfors, #1)
",Mats Strandberg,3.84,"14,092",516,Fantasy,Hardcover,Swedish
"
King of Thorns (The Broken Empire, #2)
",Mark  Lawrence,4.19,"58,556",449,Fantasy,Hardcover,English
"
The Longest Ride
",Nicholas Sparks,4.15,"118,854",398,Romance,Hardcover,English
"
Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice
",Bill Browder,4.42,"61,429",380,Nonfiction,Hardcover,English
"
Midnight (The Vampire Diaries: The Return, #3)
",L.J. Smith,3.78,"25,901",567,Paranormal,Hardcover,English
"
Shadow Tag
",Louise Erdrich,3.41,"6,930",255,Fiction,Hardcover,English
"
Wool (Wool, #1)
",Hugh Howey,4.12,"79,368",58,Science Fiction,Kindle Edition,English
"
Siege and Storm (The Shadow and Bone Trilogy, #2)
",Leigh Bardugo,3.89,"364,835",58,Science Fiction,Kindle Edition,English
"
Conversations with Friends
",Sally Rooney,3.82,"194,774",304,Fiction,Kindle Edition,English
"
Blue Monday (Frieda Klein #1)
",Nicci French,3.81,"20,349",322,Mystery,Hardcover,English
"
Furiously Happy: A Funny Book About Horrible Things
",Jenny  Lawson,3.88,"146,164",329,Nonfiction,Hardcover,English
"
The Invention of Nature: Alexander von Humboldt's New World
",Andrea Wulf,4.2,"20,012",473,Nonfiction,Hardcover,English
"
We Need New Names
",NoViolet Bulawayo,3.74,"18,745",298,Fiction,Hardcover,English
"
Why Not Me?
",Mindy Kaling,3.89,"195,305",228,Nonfiction,Hardcover,English
"
흰
",Han Kang,3.84,"9,526",132,Poetry,Paperback,Korean
"
Somewhere in France (The Great War #1)
",Jennifer Robson,3.79,"11,284",561,Science Fiction,Hardcover,English
"
The Ministry of Utmost Happiness
",Arundhati Roy,3.51,"30,636",464,Fiction,Hardcover,English
"
The Testaments (The Handmaid's Tale, #2)
",Margaret Atwood,4.2,"266,244",422,Fiction,Hardcover,English
"
Seconds
",Bryan Lee O'Malley,4.06,"42,045",422,Fiction,Hardcover,English
"
Stars Above (The Lunar Chronicles, #4.5)
",Marissa Meyer,4.16,"76,900",400,Fantasy,Hardcover,English
"
Assassin's Fate (The Fitz and the Fool, #3)
",Robin Hobb,4.64,"30,290",847,Fantasy,Hardcover,English
"
Songs of Willow Frost
",Jamie Ford,3.66,"19,382",319,Historical,Hardcover,English
"
The Calling (Darkness Rising, #2)
",Kelley Armstrong,4.06,"34,639",319,Historical,Hardcover,English
"
A Thousand Lives: The Untold Story of Hope, Deception, and Survival at Jonestown
",Julia Scheeres,3.99,"4,634",307,Nonfiction,Hardcover,English
"
The Spirit Eater (The Legend of Eli Monpress, #3)
",Rachel Aaron,4.08,"4,900",422,Fantasy,Paperback,English
"
Snuff (Discworld, #39; City Watch #8)
",Terry Pratchett,4.11,"56,130",378,Fantasy,Hardcover,English
"
This Time Together: Laughter and Reflection
",Carol Burnett,3.98,"19,461",266,Nonfiction,Hardcover,English
"
Sleeping Beauties
",Stephen King,3.73,"73,110",702,Horror,Hardcover,English
"
We Are Legion (We Are Bob) (Bobiverse, #1)
",Dennis E. Taylor,4.28,"64,836",383,Science Fiction,Kindle Edition,English
"
Nemesis
",Philip Roth,3.83,"13,581",280,Fiction,Hardcover,English
"
The Enchanted
",Rene Denfeld,3.95,"18,831",233,Fiction,Hardcover,English
"
Shelter (Mickey Bolitar, #1)
",Harlan Coben,3.94,"23,309",288,Mystery,Hardcover,English
"
Origin (Lux, #4)
",Jennifer L. Armentrout,4.32,"103,041",374,Young Adult,Paperback,English
"
The Radium Girls: The Dark Story of America's Shining Women
",Kate  Moore,4.12,"100,962",479,Nonfiction,Hardcover,English
"
The Japanese Lover
",Isabel Allende,3.83,"66,706",322,Fiction,Hardcover,English
"
Alif the Unseen
",G. Willow Wilson,3.84,"16,418",322,Fiction,Hardcover,English
"
Police (Harry Hole, #10)
",Jo Nesbø,4.21,"39,502",436,Mystery,Hardcover,English
"
The Dry (Aaron Falk, #1)
",Jane Harper,4.02,"193,855",352,Mystery,Kindle Edition,English
"
Dangerous Girls
",Abigail Haas,4.07,"23,427",352,Mystery,Kindle Edition,English
"
Bad Feminist
",Roxane Gay,3.94,"96,731",320,Nonfiction,Paperback,English
"
Damned (Damned, #1)
",Chuck Palahniuk,3.38,"49,300",256,Fiction,Hardcover,English
"
Catch Me (Detective D.D. Warren, #6)
",Lisa Gardner,4.19,"33,419",400,Mystery,Hardcover,English
"
Endlessly (Paranormalcy, #3)
",Kiersten White,3.95,"25,232",385,Fantasy,Hardcover,English
"
The Magic Strings of Frankie Presto
",Mitch Albom,4.35,"37,325",512,Fiction,Hardcover,English
"
Griftopia: Bubble Machines, Vampire Squids, and the Long Con That Is Breaking America
",Matt Taibbi,4.16,"8,749",253,Nonfiction,Hardcover,English
"
Open City
",Teju Cole,3.5,"14,447",259,Fiction,Hardcover,English
"
The Naturals (The Naturals, #1)
",Jennifer Lynn Barnes,4.17,"32,898",308,Mystery,Hardcover,English
"
Under the Never Sky (Under the Never Sky, #1)
",Veronica Rossi,3.98,"116,051",374,Young Adult,Paperback,English
"
Conqueror (Conqueror, #5)
",Conn Iggulden,4.44,"10,275",546,Historical,Paperback,English
"
While We're Far Apart
",Lynn Austin,4.2,"7,873",546,Historical,Paperback,English
"
Introductions (The Ghost Bird, #1)
",C.L. Stone,4.1,"15,289",206,Polyamorous,Kindle Edition,English
"
The Refugees
",Viet Thanh Nguyen,3.88,"16,902",209,Short Stories,Hardcover,English
"
Aurora Rising (The Aurora Cycle, #1)
",Amie Kaufman,4.13,"45,818",473,Science Fiction,Hardcover,English
"
The Grand Design
",Stephen Hawking,4.04,"68,423",199,Science,Hardcover,English
"
My Real Children
",Jo Walton,3.79,"5,799",320,Fiction,Hardcover,English
"
The Third Reich
",Roberto Bolaño,3.52,"4,757",277,Fiction,Hardcover,English
"
Come Away with Me (With Me in Seattle, #1)
",Kristen Proby,3.91,"60,981",322,Romance,Paperback,English
"
Magic Breaks (Kate Daniels, #7)
",Ilona Andrews,4.46,"45,780",381,Fantasy,Hardcover,English
"
Stillhouse Lake (Stillhouse Lake, #1)
",Rachel Caine,4.11,"133,474",301,Thriller,Kindle Edition,English
"
Calypso
",David Sedaris,4.08,"107,629",273,Nonfiction,Kindle Edition,English
"
Deadlocked (Sookie Stackhouse, #12)
",Charlaine Harris,3.7,"97,169",327,Fantasy,Hardcover,English
"
The Screaming Staircase (Lockwood & Co., #1)
",Jonathan Stroud,4.18,"37,579",440,Fantasy,Hardcover,English
"
Just One Damned Thing After Another (The Chronicles of St Mary's, #1)
",Jodi Taylor,3.89,"37,448",480,Science Fiction,Hardcover,English
"
Mile 81
",Stephen King,3.65,"25,588",80,Horror,ebook,English
"
You (You, #1)
",Caroline Kepnes,3.92,"178,616",422,Thriller,Paperback,English
"
Captain Vorpatril's Alliance (Vorkosigan Saga, #15)
",Lois McMaster Bujold,4.18,"15,620",422,Science Fiction,Hardcover,English
"
Ashfall (Ashfall, #1)
",Mike Mullin,3.98,"23,937",466,Young Adult,Hardcover,English
"
The Painter
",Peter Heller,3.79,"13,405",364,Fiction,Hardcover,English
"
Aurora
",Kim Stanley Robinson,3.76,"22,807",466,Science Fiction,Hardcover,English
"
November 9
",Colleen Hoover,4.33,"143,112",307,Romance,Paperback,English
"
The Mystery Knight (The Tales of Dunk and Egg, #3)
",George R.R. Martin,4.22,"14,989",307,Romance,Paperback,English
"
Dead in the Family (Sookie Stackhouse, #10)
",Charlaine Harris,3.88,"159,190",320,Fantasy,Hardcover,English
"
Witch Song (Witch Song, #1)
",Amber Argyle,3.68,"5,367",305,Fantasy,Paperback,English
"
Toms River: A Story of Science and Salvation
",Dan Fagin,4.08,"3,817",560,Nonfiction,Hardcover,English
"
The Marrow Thieves
",Cherie Dimaline,4.05,"18,497",231,Young Adult,Paperback,English
"
The Sleepwalkers: How Europe Went to War in 1914
",Christopher   Clark,4.18,"9,450",696,History,Hardcover,English
"
Broken Harbour (Dublin Murder Squad, #4)
",Tana French,3.94,"87,352",533,Mystery,Paperback,English
"
In a Strange Room
",Damon Galgut,3.59,"3,301",180,Fiction,Hardcover,English
"
Elizabeth the Queen: The Life of a Modern Monarch
",Sally Bedell Smith,3.84,"28,669",663,Biography,Hardcover,English
"
Necessary Lies (Necessary Lies, #1)
",Diane Chamberlain,4.26,"60,775",368,Historical,Hardcover,English
"
The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo
",Tom Reiss,3.93,"18,571",414,History,Hardcover,English
"
Missing You
",Harlan Coben,3.98,"50,567",399,Mystery,Hardcover,English
"
The Last Star (The 5th Wave, #3)
",Rick Yancey,3.63,"64,638",338,Young Adult,Hardcover,English
"
Best Kept Secret (The Clifton Chronicles, #3)
",Jeffrey Archer,4,"41,275",373,Fiction,Hardcover,English
"
White Hot Kiss (The Dark Elements, #1)
",Jennifer L. Armentrout,4.2,"61,076",388,Fantasy,Kindle Edition,English
"
Field Gray (Bernard Gunther, #7)
",Philip Kerr,4.15,"6,191",448,Historical,Hardcover,English
"
On the Come Up
",Angie Thomas,4.3,"77,760",464,Young Adult,Hardcover,English
"
Us Against You (Beartown, #2)
",Fredrik Backman,4.34,"98,577",448,Fiction,Hardcover,English
"
Sea (Sea #1)
",Heidi R. Kling,3.84,"2,235",323,Young Adult,Hardcover,English
"
Shadow Catcher (Nick Baron, #1)
",James R. Hannibal,4.06,256,360,Fiction,Paperback,English
"
The Founder's Curse (New Zigon, #1)
",Danelle O'Donnell,4.22,23,284,Fiction,Paperback,English
"
Where Pain Thrives
",Mie Hansson,3.94,17,96,Poetry,Paperback,English
"
Kings or Pawns (Steps of Power #1; The Kings #1)
",J.J. Sherwood,4.31,133,383,Fantasy,Paperback,English
"
Beautiful Darkness (Caster Chronicles, #2)
",Kami Garcia,3.82,"133,093",503,Young Adult,Hardcover,English
"
Beautiful Affliction
",Lene Fogelberg,3.68,"2,580",352,Medical,Paperback,English
"
The Kafir Project
",Lee Burvine,4,310,340,Fiction,ebook,English
"
Edna in the Desert
",Maddy Lederman,3.87,215,184,Fiction,Paperback,English
"
The Bands of Mourning (Mistborn, #6)
",Brandon Sanderson,4.39,"88,470",448,Fantasy,Kindle Edition,English
"
Horn-Horn: A small-town supernatural black-comedy (The Horn-Horn Series Book 1)
",A.D.T. McLellan,4.54,87,437,Fantasy,Kindle Edition,English
"
The Instructions
",Adam Levin,4.07,"2,464",1030,Fiction,Hardcover,English
"
I Am Forbidden
",Anouk Markovits,3.69,"5,545",302,Fiction,Hardcover,English
"
Table 21
",T. Rafael Cimino,3.65,416,287,Fiction,Paperback,English
"
Number 13 (Lightmasters, #1)
",M.G. Wells,4.13,187,192,Fantasy,Paperback,English
"
SG - Suicide Game
",Haidji,3.51,270,358,Science Fiction,Paperback,English
"
Alice (The Chronicles of Alice, #1)
",Christina Henry,3.86,"26,841",291,Fantasy,Paperback,English
"
Fawkes
",Nadine Brandes,3.85,"3,611",448,Fantasy,Hardcover,English
"
The Timingila
",Shon Mehta,4.22,23,258,Fantasy,ebook,English
"
Skippy Dies
",Paul Murray,3.73,"20,057",661,Fiction,Paperback,English
"
Wraith (Nick Baron 0.5)
",James R. Hannibal,4.03,94,354,Fiction,Kindle Edition,English
"
Reginald Bones (Reginald Bones #1)
",Lucian Bane,4.36,457,308,Dark,Kindle Edition,English
"
All That Lives Must Die (Mortal Coils, #2)
",Eric S. Nylund,4.33,"1,076",700,Fantasy,Paperback,English
"
The Last Boyfriend (Inn BoonsBoro Trilogy, #2)
",Nora Roberts,4.08,"45,202",11,Romance,Audio CD,English
"
Dark Age
",Felix O. Hartmann,3.82,98,344,Science Fiction,Paperback,English
